post_id,user_id,text,created_at,topic,keyword,group,source_type
mCCbooWEkr,uLMIDVFSA,#媒体链接#【777名县处级以上干部移送司法机关】 中央纪委监察部1月6日在京召开纪检监察机关查办案件工作情况新闻通气会。据介绍，2011年纪检监察机关严肃查办发生在领导机关和领导干部中的违纪案件。处分县处级以上干部4843人，移送司法机关的县处级以上干部777人。http://t.cn/SXvfnp,2012-01-08 17:16:12,反腐,中央纪委,opinion_leader,opinion_leader_df
4940527607744206,1623340585,【中超联赛有限责任公司董事长刘军被查】中超联赛有限责任公司董事长刘军涉嫌严重违纪违法，目前正接受中央纪委国家监委驻国家体育总局纪检监察组和湖北省监委审查调查。（国家体育总局官网）,2023-08-30 20:03:55,反腐,中央纪委,state_media,state_media_df
4941203080220916,3919603060,"【#北京一正局长级干部被双开#】#田运胜被双开# 据北京市纪委监委消息：经中共北京市委批准，北京市纪委监委对北京市重点站区管理委员会干部田运胜（正局长级）严重违纪违法问题进行了立案审查调查。

经查，田运胜对党不忠诚不老实，对抗组织审查；违反中央八项规定精神，违规收受礼品，接受可能影响公正执行公务的旅游活动安排；不如实报告个人有关事项；违规过问案件；利用职务上的便利或职权和地位形成的便利条件，为他人在公司经营、案件办理等方面提供帮助，非法收受财物；滥用职权致使国家和人民利益遭受重大损失。

田运胜严重违反党的政治纪律、组织纪律、廉洁纪律、工作纪律，构成严重职务违法并涉嫌受贿、滥用职权犯罪，且在党的十八大后仍不收敛、不收手，性质严重，影响恶劣，应予严肃处理。依据《中国共产党纪律处分条例》《中华人民共和国监察法》《中华人民共和国公职人员政务处分法》等有关规定，经北京市纪委常委会会议研究并报中共北京市委批准，决定给予田运胜开除党籍处分；由北京市监委给予其开除公职处分；收缴其违纪违法所得；将其涉嫌犯罪问题移送检察机关依法审查起诉，所涉财物一并移送。（中央纪委国家监委网站） http://t.cn/A6Oqlfjz",2023-09-01 16:48:00,反腐,中央纪委,state_media,state_media_df
4942536337262142,3514732862,【#山西省委副书记商黎光接受审查调查#】山西省委副书记商黎光涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。（来源：中央纪委国家监委网站）,2023-09-05 09:05:53,反腐,中央纪委,state_media,state_media_df
4942536663895569,2803301701,【山西省委副书记商黎光接受调查】据中央纪委国家监委网站，山西省委副书记商黎光涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。,2023-09-05 09:07:11,反腐,中央纪委,state_media,state_media_df
4942537472344784,2810373291,#商黎光接受审查调查#【山西省委副书记商黎光接受中央纪委国家监委纪律审查和监察调查】山西省委副书记商黎光涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。#商黎光被查#（中央纪委国家监委网站）,2023-09-05 09:10:24,反腐,中央纪委,state_media,state_media_df
4942539418240724,1663072851,【山西省委副书记商黎光接受调查】据中央纪委国家监委网站，山西省委副书记商黎光涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。 http://t.cn/A6OV5bjE,2023-09-05 09:18:08,反腐,中央纪委,state_media,state_media_df
4942540903286862,3919603060,【山西省委副书记商黎光接受调查】据中央纪委国家监委网站，山西省委副书记商黎光涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。 （人民日报）,2023-09-05 09:24:02,反腐,中央纪委,state_media,state_media_df
4942541290472086,1974576991,【山西省委副书记商黎光接受调查】据中央纪委国家监委网站，山西省委副书记商黎光涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。,2023-09-05 09:25:34,反腐,中央纪委,state_media,state_media_df
4942541403983185,3288875501,【#山西省委副书记商黎光涉嫌严重违纪违法#】山西省委副书记商黎光涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。（新华社客户端） http://t.cn/A6OV5eiI,2023-09-05 09:26:01,反腐,中央纪委,state_media,state_media_df
4942541847790276,1623340585,【山西省委副书记商黎光接受审查调查】山西省委副书记商黎光涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。（新华视点）,2023-09-05 09:27:47,反腐,中央纪委,state_media,state_media_df
4942545030221950,2093606665,【山西省委副书记商黎光接受审查调查】山西省委副书记商黎光涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。（新华社）,2023-09-05 09:40:26,反腐,中央纪委,state_media,state_media_df
4942546163467232,3167104922,【#商黎光涉嫌严重违纪违法接受审查调查#】#山西省委副书记商黎光被查# 山西省委副书记商黎光涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。（中央纪委国家监委网站） http://t.cn/A6OVclPg,2023-09-05 09:44:56,反腐,中央纪委,state_media,state_media_df
4942546604918509,3901624042,【山西省委副书记商黎光接受调查】据中央纪委国家监委网站，山西省委副书记商黎光涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。 （人民日报）,2023-09-05 09:46:41,反腐,中央纪委,state_media,state_media_df
4942554603457802,2827102952,"【#商黎光被查#】据中央纪委国家监委网站消息，山西省委副书记商黎光涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。
公开资料显示，商黎光，男，汉族，1963年11月生，河北巨鹿人。曾任河北省委常委、秘书长等职，2017年6月任山西省委常委、政法委书记，2021年10月任山西省委副书记。（中央纪委国家监委网站、澎湃新闻）",2023-09-05 10:18:28,反腐,中央纪委,state_media,state_media_df
4942570842489386,1991123083,【山西省委副书记商黎光接受调查】据中央纪委国家监委网站，山西省委副书记商黎光涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。 （中央纪委国家监委网站）,2023-09-05 11:23:00,反腐,中央纪委,state_media,state_media_df
4942920010171108,2271051770,"【胡果已任人民日报社副社长】人民日报社“领导介绍”信息显示，胡果已任人民日报社副社长。
官方简历显示，胡果，女，汉族，1971年3月生，大学学历，中共党员，现任人民日报社副社长。
公开报道显示，胡果曾任人民日报社总编室副主任、人民日报社天津分社社长、人民日报社对外交流合作部主任、人民日报社经济社会部主任等职。
目前，人民日报社领导班子成员为：人民日报社社长庹震，人民日报社总编辑于绍良，中央纪委国家监委驻人民日报社纪检监察组组长、人民日报社编委委员陆俊华，人民日报社副总编辑兼机关党委书记王一彪，人民日报社副总编辑方江山，人民日报社副总编辑崔士鑫，人民日报社编委委员、海外版编辑部总编辑陈贽，人民日报社副总编辑徐立京，人民日报社副社长胡果，人民日报社编委委员、秘书长程庆民。",2023-09-06 10:30:28,反腐,中央纪委,state_media,state_media_df
mt8ub9TS3m,u0AGNMZX3,//@uRSRDWAZT： //@uZND2PBB3：  //@uWWBK4UPY：  希望李薇同志利用贪官们的好奇心，多做对人民有利的事情，继续从事“曲线揪官”的伟业//@uSIADYZB3：  一曲忠诚的赞歌，一只怒放的生命！//@ukn：  这公共汽车还没郑州宇通产的好看捏。//@uVGJD2DM0：  [哈哈][哈哈] 各路反腐奇才纷纷登场，继“反腐神偷”后,2012-01-03 18:12:16,反腐,反腐,opinion_leader,opinion_leader_df
mRsOwXev7h,uZNJAJTWF,//@uCBTMSABT： 胡锦涛：坚决把反腐败斗争进行到底！,2012-01-03 18:24:42,反腐,反腐,opinion_leader,opinion_leader_df
m6EpUov647,uPVDGY2TS,//@uDG02DDM3： 反腐不靠上访就靠微博，足见官官相护到了何种程度，公众对司法和公权力不信任到了何种程度  //@uVGJJ1DB0： 转。,2012-01-04 08:53:35,反腐,反腐,opinion_leader,opinion_leader_df
m4wD3gThlC,uVT4JKUAH,//@uP2ZKNHEX：  不公开财产，司法不独立，反腐主力小三小偷。坏的制度让好人变坏。邓大人说得真对！,2012-01-05 10:40:44,反腐,反腐,opinion_leader,opinion_leader_df
mL2uNUHRby,uB5F0XRUI,【劫匪反腐，盗也有道？】本要晋升副省长，但家中被劫，山西焦煤老总白培中仕途终结。两名劫匪为白所在高档小区保安，用假身份证入职保安工作，踩点后抢劫。类似案例有，“两亿大盗”王俊才，专偷外出应酬官员，藏文物价值2亿，称自己从不偷穷家，只偷官员家，称北京的官员家里文物最丰富，上海其次。,2012-01-05 11:55:49,反腐,反腐,opinion_leader,opinion_leader_df
mL2uLNXWlj,uLMIBTHRP,"//@ukn：  “灾民爱心互助”是个好主意，乌坎的经验值得上海大火灾民借鉴。乌坎村民团结互助，维权有组织、有纪律，目标明确，行动统一，进退有度，有节有制, 把焦点局限在非法征地上, 就是反腐，而没有针对共产党执政提出批评，甚至还为毛大唱赞歌，以彼之矛攻彼之盾。",2012-01-05 18:27:12,反腐,反腐,opinion_leader,opinion_leader_df
m3e5idXQU4,uP2ZYA34W,无锡市委被连锅端了，事发情妇举报，又一起。情妇反腐，国之利器啊。——二奶都是纪委特派员。 毛小平在2011年9月24日的中共无锡市第十二届委员会第一次全委会上，当选市委书记。8个月后被撸。如今，无锡市委被连锅端，情妇反腐威力不可谓不大。,2012-01-06 01:23:15,反腐,反腐,opinion_leader,opinion_leader_df
m5uceyM3LQ,uZDQXQPW3,#黄牛观察#央视近来口头禅：1、房价得到有效控制；2、各地物价平稳，市场出现喜人景象；3、春运压力比往年有所缓解；4、反腐取得明显效果；5、各城市市民幸福指数大幅提高；6、网络实名得到网民一致好评；7、医疗改革取得了显著成效；8、大国责任在国际社会得到了很好的体现；9、中国经济继续,2012-01-06 12:14:34,反腐,反腐,opinion_leader,opinion_leader_df
m5PIalWFCy,uONPVTSHV,我觉得这个访谈应该反腐，否则到最后会被腐女攻占的。,2012-01-06 14:50:21,反腐,反腐,opinion_leader,opinion_leader_df
mHBeFBhYv2,uP2ZJY24I,//@ukn：  //@ukn：  古有公车上书，今有公车反腐。公车，赞一个！//@ukn： // @uS5WQBO25： :反腐“特务”！！！！[赞] // @ukn： : // @uHQYMINR0： : 转发微博,2012-01-06 22:39:56,反腐,反腐,opinion_leader,opinion_leader_df
m2DitRKdSh,uBIBFRUKC,这样的图片是不能说明问题的。如果属实还需要拿出更多有证明力的证据。//@uZXKFNR11：  唾骂他贪官//@uJ2OXZSW1：  //@uJ2OXZSW1：  //@uZXKFNR11：  [赞]//@uRSRV5IJR：  “浮”起来就捞上来！这就是反腐法则！//@ukn：  让一部分人先浮起来//@uNEGORZZY：  //@uJ2OJBIKC： : //@uBK1PDVTA： ,2012-01-07 15:10:25,反腐,反腐,opinion_leader,opinion_leader_df
mevVHtpsGM,uTZ5KAFHS,@uAHFMYMNB： 反腐高招： 强烈建议所有的政府人员，凡是家属国籍不在中国的，要么强制迁回家属国籍，要么强制下台，不允许有外籍银行账户。还想在中国当官的，所有直系亲属必须是中国国籍，所有财产必须在中国。希望把这一条加到宪法里。恳请两会代表提案支持！,2012-01-07 15:34:18,反腐,反腐,opinion_leader,opinion_leader_df
mhRqJbNAld,uYC31BXLX,【教授:反腐更加注重”小官巨贪”】中央党校教授林喆指出，2011年反腐的鲜明特点是既打苍蝇也打老虎。 http://t.cn/SXv0vf ,2012-01-07 16:01:37,反腐,反腐,opinion_leader,opinion_leader_df
mL2Ub4iQgr,uZDQIOLNB,回复@uVEQZQTDD： 各级纪委应该组织强大的小偷团队，对公务科长以上职位的，定期光临，可能比现在的反腐体制来得更直接，更有效~~~ //@uVEQZQTDD： 以后盗贼可以放心大胆工作了，贪官都不会报警。,2012-01-08 10:22:00,反腐,反腐,opinion_leader,opinion_leader_df
mCCbsirNbn,uNEGOCD5M,【兩岸透視】禁裸官正副有別 反腐敗自欺欺人（2/10）根據這一規定，裸官原則上不得擔任黨政正職和重要敏感崗位的領導職務，也就是說，只要不當書記、市長和縣長，裸官依然我自為之。問題是，裸官不能任正職，為甚麼就能任副職？難道正職是官，副職不是官？,2012-01-08 11:37:34,反腐,反腐,opinion_leader,opinion_leader_df
mHBeVlQXj6,uHRVNPYRL,【华夏文化】中国太大了，5000年泥潭遍布，人们思维早已混乱，目光所及总只是局部。譬如腐败谁不反？可有人反腐是因为自己没机会腐；有人倒确实是反腐，但腐败根源中央集权，他们却又坚决维护；当我说中国不振的社会基因是“以德治国”，他们就会来骂，个人行道德，与国家喊道德，完全两码事，不明白？,2012-01-08 12:12:32,反腐,反腐,opinion_leader,opinion_leader_df
mtqoE7LLQ1,uJ2OI43LI,向奋战在反腐创廉第一线上的香港狗子队们致以崇高的敬意。[阴险]//@uQHCVQ0KL：  惹众怒了！ //@uFAJYRDD：  这个建议ok！[ok] // @uCBTBCO3Z： :建议中纪委监控整条广东道。,2012-01-08 16:15:31,反腐,反腐,opinion_leader,opinion_leader_df
mCCboJM1q7,uBIBFRWBT,贪官部会买这么贵的衣服，但贪官情妇会。 //@u0YUPH3NC：  //@uLCMM2IZL：  回复@uBKZU15DI： 有点纳闷：在香港买点儿奢侈品有啥，应该挺常见吧？这照片到底咋回事，啥情况这么轰动？ //@uBKZU15DI： 香港人也帮忙反腐了啊 //@uLCMM2IZL： 谁知道是什么样的衣服？ //@uQHCWZAC2： 挖。。这是真的港人治戆。,2012-01-08 18:20:56,反腐,反腐,opinion_leader,opinion_leader_df
mevVpTX0qi,uHRVD2ZFY,請不要本末倒置!  //@uQHCVOJYZ： 香港人小心眼了，对大陆客羡慕嫉妒恨 // @uEMBE5RPM： :买一件D&amp;G的就是大陆贪官？这些拍摄者就不侵犯顾客肖像权吗？还法制社会，连文明都不配，应该警察驱赶而不是保安。 // @uONP50TEC： : 反腐。最前线，港人堪担当。,2012-01-08 18:26:39,反腐,反腐,opinion_leader,opinion_leader_df
mcrJ40ym83,uEMBE5RPM,回复@uONPWXLWD： 不管是不是在公共场所，一个顾客无故被他人拍照这才应该引起公愤，这关反腐毛关系，是侵犯个人权利。 //@uEMBE5RPM： 法盲啊 不解释 //@ukn：  @ukn： //@ukn： ,2012-01-08 20:31:58,反腐,反腐,opinion_leader,opinion_leader_df
4937930684237840,1420157965,"#妻子炫富式举报丈夫应查清真相# 【妻子“炫富式”举报丈夫，应尽快查清真相回应公众关切】
8月22日，一则业主炫富的聊天记录引发关注。截图显示一位叫阿娟的业主炫耀称丈夫王某是南方电网公司广州供电局的一名普通员工，“三本进来的，还是正式编制，年收入50万加。” 此外，记者发现在炫富聊天记录流传时，疑似该女子此前举报其丈夫行贿入职及遗弃病妻幼女的聊天记录截图也流传网络。对此，广州供电局工作人员回复称，目前已关注此事，网传信息有不实的地方，广州供电局已报警。当晚，广州供电局发布声明，已成立核查组进行核查，如涉及违法违纪问题，将严肃处理。（上游新闻 《妻子炫富前曾举报丈夫行贿入职遗弃妻女，广州供电局：已成立核查组》）

在反腐纵深推进的当下， “年收入50万+”“行贿30万入职”“遗弃病妻幼女”，妻子如此“炫富式”举报丈夫，瞬间引爆舆论，引发全民“吃瓜”。虽说有图有真相，可在热门事件反转甚至再反转屡见不鲜的当下，凭几张聊天截图就轻易下结论还为时尚早。但舆论之所以如此关注此事，显然不只是八卦夫妻间爱恨情仇这么简单，公众更关切的是举报信息中的诸如行贿入职等违法违纪行为是否存在。如果情况属实，显然就不只是家务事那么简单。

家庭事务、婚姻纠纷尚可止于道德层面的评判，但一旦涉及违纪违法问题，那涉事单位、纪检监察部门等就必须及时介入调查，查清事件真相。目前，妻子的“举报”，到底是捏造的“狗血剧”，还是反腐的“神操作”，还不能轻易下结论，可其提供的线索指向都很明确，涉事单位“按图索骥”进行核实调查应该不算难事。

目前，涉事单位已成立核查组进行核查，面对舆情及时发声值得肯定，但要彻底平息舆论以及防止谣言等不实信息的滋生和传播，还需要尽快查清事情真相，对举报者指出的线索及舆论关切的问题一一作出有说服力的回应，如此才能给舆论降温。如果举报失实，则要为被举报者及相关单位澄清正名，并让造谣诽谤者付出法律代价；如果的确存在违纪违法问题，则要对涉事人员严惩不贷，还社会以公平正义。

妻子“炫富式”举报丈夫，舆论关注度高，唯有实事求是、尽快查清真相、依法依规予以处理，才能回应公众关切，防止舆论再次发酵。围观群众正拭目以待，也希望调查结果不会让大家等太久。

特约评论员 夏熊飞
（上游新闻）http://t.cn/A6OZCT9h",2023-08-23 16:04:40,反腐,反腐,state_media,state_media_df
4938185685341171,3675657612,"【AI智播｜一句阳光，叫醒耳朵！（2023年8月24日 第1314期）】
宁夏日报新媒体频道编发　第1314期
2023年8月24日　星期四
1. 从1996年起，闽宁“山海情”持续谱写。在两地干部、科技专家、教师和医生等群体的共同执笔下，成就“时代楷模”，绘就了闽宁镇的金色图景。今天，我们用闽宁镇的27张笑脸，诉说27个小家的温情故事，折射“金沙滩”的璀璨光芒，汇聚“山海情”的温馨表情。（27年接续奔赴，27年倾注热望）
2.日本宣布将从8月24日开始将核污染水排入海洋，引发国际关注。研究模拟日本核污水排海扩散过程：240天到达中国沿海，1200天后覆盖北太平洋。（别让8月24日成海洋环境灾难日）
3. 近日，在蒙古国首都乌兰巴托举行的2023年东亚青年运动会上，银川市第九中学高三学生崔双燕代表中国出战，勇夺田径女子组1500米冠军和800米亚军，实现了宁夏在校中学生在国际赛场奖牌零的突破！（跑出人生“加速度”，厉害了宁夏娃！）
4. 当同城跑腿成为常态，目前宁夏兴起跨城“跑腿”。银川至吴忠，每隔40分钟准时发车，文件、货品等一件也发，时间压缩到最快1小时，大大满足了客户跨城的不时之需。（物流行业新态势！网友：太爱了！）
5. “晒书”作为我国古代的传统习俗，体现了国人敬惜字纸、崇尚知识，传承中华文化的美好愿望。为提升社会各界对古籍保护、文化传承的认同感，8月23日，“江流万古 文润千年——宁夏2023年中华传统晒书”系列活动在银川开幕。（“晒书”会，古时的“图书博览会”，现在的你，也来体验一把吧！）
6. 8月22日，宁夏宝丰集团燕宝慈善基金会在银川举行2023年奖学金发放仪式，继续捐资6亿元对14.25万名学生进行奖励资助。到目前为止，该基金会已累计奖励资助34.52万名学生、捐资39.03亿元。（温暖当下，筑梦未来）
7. 8月23日11时30分，总重达10吨！“中国最大豆腐”在青铜峡市诞生。（网友：还操心咋吃呢，已经分完啦！）
8. 据中国驻缅甸大使馆，8月23日下午，4名电信诈骗犯罪嫌疑人在仰光国际机场由缅甸警方移交给中国警方工作组押解回国。上述嫌疑人所在的诈骗团伙在缅甸妙瓦底以高薪招工为由，大肆诱骗中国籍人员从事网络投资理财类诈骗。据悉，当日共有6名电信诈骗犯罪嫌疑人被押解回国。（雷霆出击，向境外电信诈骗“亮剑”！）
9. 充分发挥医保基金监管在医药领域反腐败“探照灯”作用，严厉打击医保领域各类违法违规行为，自今年8月起，四部门将联合组织开展覆盖全国31个省（自治区、直辖市）和新疆生产建设兵团的医疗保障基金飞行检查。（医药领域掀“史上最强”反腐风暴！）
10. 受高空槽东移影响，预计24日夜间到25日白天，宁夏全区有雷阵雨或阵雨转普雨。一场雨水一场凉，在降水的打压下，我区气温将会下滑，预计25日较24日日平均气温下降6℃左右，能感受到凉凉的秋意。（暑气散，清风起，天地澄清的凉爽初秋，终于来啦！）
#微光心语#走着走着，已经是秋天了，人生总有太多来不及，时间走的太快，一眨眼就是一天，一回头就是一年，一转身就是一辈子。四季轮回，一岁有一岁的味道，一站有一站的风景，愿一切美好都不期而遇！
（邵珍珍 编辑/视频）",2023-08-24 08:57:57,反腐,反腐,state_media,state_media_df
4938566709543220,3204782330,【海南省纪委监委通报5起公共工程领域腐败问题典型案例】为深入贯彻党的二十大关于坚决打赢反腐败斗争攻坚战持久战的战略部署和省委省政府关于开展公共工程领域违纪违法犯罪问题专项治理工作的部署，进一步加强警示教育，充分释放从严的信号，近日，海南省纪委监委通报5起公共工程领域腐败问题典型案例。详戳→http://t.cn/A6OA6wuC,2023-08-25 10:12:00,反腐,反腐,state_media,state_media_df
4938915517039816,3120845115,【自觉筑牢拒腐防变思想堤坝】全省警示教育大会播放警示教育片《永远吹冲锋号Ⅱ》，以近年来我省查处的几起典型案件为镜鉴，用身边事教育身边人，再次敲响廉洁警钟，吹响反腐冲锋号。全省党员干部特别是各级领导干部要深刻警醒，从中汲取教训，坚定理想信念，提高政治觉悟，自觉筑牢拒腐防变思想堤坝，永葆清正廉洁的政治本色。http://t.cn/A6O2Wram,2023-08-26 09:18:02,反腐,反腐,state_media,state_media_df
